what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1414586311672
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1414586312016
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1414586312052
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1414586312078
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1414586312157
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1414586312544
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1414586312561
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1414586312623
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1414586312691
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1414586312965
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414586315328
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1414586315392
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1414586315470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1414586322665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1414586352027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1414586352442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1414586353308
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1414586355528
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1414586358054
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.6.1.201009101021,"org.eclipse.linuxtools.valgrind.massif",1414586358396
stopped,bundle,org.eclipse.birt.chart.device.svg,2.6.1.v20100902,"org.eclipse.birt.chart.device.svg",1414586358427
stopped,bundle,org.eclipse.birt.chart.device.extension,2.6.1.v20100902,"org.eclipse.birt.chart.device.extension",1414586358442
stopped,bundle,org.eclipse.birt.chart.device.swt,2.6.1.v20100812,"org.eclipse.birt.chart.device.swt",1414586358457
stopped,bundle,org.eclipse.birt.chart.engine.extension,2.6.1.v20100902,"org.eclipse.birt.chart.engine.extension",1414586358561
stopped,bundle,org.eclipse.linuxtools.gcov,4.1.1.201009101021,"org.eclipse.linuxtools.gcov",1414586358561
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201009101021,"org.eclipse.linuxtools.gprof",1414586358562
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201009101021,"org.eclipse.linuxtools.dataviewers.charts",1414586358597
stopped,bundle,org.eclipse.birt.chart.ui,2.6.1.v20100819,"org.eclipse.birt.chart.ui",1414586358622
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboardextension,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.dashboardextension",1414586358622
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.dashboard,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.dashboard",1414586358642
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1414586358643
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.ide,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.ide",1414586358728
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphing,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.graphing",1414586358817
stopped,bundle,org.eclipse.linuxtools.systemtap.ui.graphingapi.ui,0.3.0.201009101021,"org.eclipse.linuxtools.systemtap.ui.graphingapi.ui",1414586358914
stopped,bundle,org.eclipse.birt.chart.engine,2.6.1.v20100909,"org.eclipse.birt.chart.engine",1414586358942
